label,text
ham,Please find attached the project report for your review.
ham,Don't forget about the team meeting at 10 AM.
ham,"Hey, are we still meeting tomorrow for coffee?"
ham,Don't forget about the team meeting at 10 AM.
spam,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.
ham,"Thanks for your help yesterday, I really appreciate it."
ham,Happy Birthday! Hope you have a wonderful day.
ham,Don't forget about the team meeting at 10 AM.
ham,Let's schedule a catch-up call next week.
spam,Act now! 90% discount on premium antivirus subscription.
ham,Happy Birthday! Hope you have a wonderful day.
spam,Win an iPhone 15 today! Only first 100 users eligible.
ham,Your flight booking has been confirmed for Monday.
ham,Let's schedule a catch-up call next week.
ham,Can you send me the updated presentation slides?
ham,Please find attached the project report for your review.
spam,Claim your lottery prize now before it's too late!
ham,Please find attached the project report for your review.
ham,"Hey, are we still meeting tomorrow for coffee?"
spam,Get rich quick with this one secret method. Limited offer!
ham,"Hey, are we still meeting tomorrow for coffee?"
spam,Act now! 90% discount on premium antivirus subscription.
spam,Claim your lottery prize now before it's too late!
ham,Please find attached the project report for your review.
spam,You’ve been chosen for an exclusive Bitcoin investment opportunity.
spam,You have been selected for a free vacation to Bahamas. Reply YES to claim.
spam,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.
ham,Let's schedule a catch-up call next week.
ham,"Hey, are we still meeting tomorrow for coffee?"
ham,"Thanks for your help yesterday, I really appreciate it."
spam,Get rich quick with this one secret method. Limited offer!
spam,Your account has been suspended. Verify your details immediately.
ham,Lunch at 1 PM? Let me know what works best.
spam,You have been selected for a free vacation to Bahamas. Reply YES to claim.
spam,Urgent: Update your bank details to avoid account closure.
spam,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.
ham,Please make sure to submit your assignment by Friday.
ham,"Thanks for your help yesterday, I really appreciate it."
ham,Please make sure to submit your assignment by Friday.
spam,Urgent: Update your bank details to avoid account closure.
spam,Urgent: Update your bank details to avoid account closure.
spam,Your PayPal account has been compromised. Click here to secure it.
spam,You have been selected for a free vacation to Bahamas. Reply YES to claim.
ham,Your flight booking has been confirmed for Monday.
spam,Urgent: Update your bank details to avoid account closure.
spam,Get rich quick with this one secret method. Limited offer!
ham,Can you send me the updated presentation slides?
ham,Please find attached the project report for your review.
spam,Claim your lottery prize now before it's too late!
ham,Please make sure to submit your assignment by Friday.
ham,Happy Birthday! Hope you have a wonderful day.
